Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~555.PrjPCB|ReportField=ProjectFullPath~C:\Users\gabriel\Documents\Phantom\hardware\555_Tutorial\555.PrjPCB|ReportField=Title~Bill of Materials For Project [555.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~7:03:26 PM|ReportField=ReportDate~2018-09-30|ReportField=ReportDateTime~2018-09-30 7:03:26 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~7|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~f778ea446eaeb22c08f2a4605309eaa616b6e700|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-09-30|ReportField=CurrentTime~6:04:50 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\gabriel\Documents\Phantom\hardware\555_Tutorial\555_SCHEMATIC.SchDoc|ReportField=DocumentName~555_SCHEMATIC.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-09-30|ReportField=Organization~|ReportField=ProjectName~555.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~555.PrjPCB|ReportField=DataSourceFullPath~C:\Users\gabriel\Documents\Phantom\hardware\555_Tutorial\555.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|10nF|Cap Ceramic 0.01uF 10V X7R 10% SMD 0603 125C Paper T/R|C1|C0603|CC0603KRX7R6BB103|1
2|10uF|Cap Ceramic 10uF 10V X5R 10% SMD 0603 85C Paper T/R|C2|C0603|GRM188R61A106KE69D|1
3|LTST-C190GKT|LED GREEN CLEAR 0603 SMD|D1|LED_0603|LTST-C190GKT|1
4|1k|RES SMD 1K OHM 5% 1/4W 0603|R1, R2|R0603|ESR03EZPJ102|2
5|10k|RES SMD 10K OHM 0.5% 1/16W 0816|R3|R0603|RR0816P-103-D|1
6|NE555S-13|555 Type, Timer/Oscillator (Single) IC 500kHz 8-SOIC (0.154", 3.90mm Width)|U1|SOIC-8|NE555S-13|1
